Quantity,Designator,Description,Comment,LibRef,
2,"C1, C27",CAP CER 270PF 50V NP0 0603,270pF,GRM1885C1H271JA01D,x
2,"C2, C3",CAP CER 10PF 50V NP0 0603,10pF,GRM1885C1H100JA01D,x
9,"C4, C5, C23, C32, C35, C37, C58, C61, C65",CAP CER 2.2UF 16V X5R 0603,2.2µF,GRM188R61C225KE15D,x
13,"C6, C7, C8, C9, C10, C22, C25, C28, C30, C31, C34, C41, C59",CAP CER 0.1UF 25V X7R 0603,0.10µF,GRM188R71E104KA01D,x
5,"C11, C12, C13, C14, C15","CAP, FP Series, 470 µF, 25 V, Radial Can - SMD, 10 mm",470uF,EEEFP1E471AP,x
5,"C19, C20, C21, C40, C60",CAP CER 4.7UF 35V X5R 0805,4.7uF,GRM219R6YA475KA73D,x
1,C24,CAP CER 82PF 100V NP0 0603,82pF,GRM1885C2A820JA01D,x
1,C29,CAP TANT 68UF 16V 20% 2312 250mOhm,68uF,T495C686M016ATE250,x
1,C33,CAP CER 0.022UF 25V X7R 0603,0.022µF,GRM188R71E223KA01D,x
4,"C36, C38, C39, C42",CAP CER 2200PF 50V NP0 0603,2200pF,GRM1885C1H222JA01D,x
1,C66,CAP CER 10UF 50V X5R 1206,10µF,CL31A106KBHNNNE,x
1,C67,CAP CER 22UF 25V X5R 0805,22µF,GRM21BR61E226ME44L,x
2,"D1, D2","Rectifier Diode, Single, 40 V, 1 A, SOD-123FL, 2, 550 mV",,MBR140SFT1G,x
2,"J1, J30","MICRO USB B, RECEPTACLE, SMT, RA, 5WAY",,10103594-0001LF,x
1,J2,"Header, 5-Pin",,Header 5,x
1,J3,"Header, 18-Pin",Header 18,Header 18,x
1,J9,CONN HEADER 2POS VERT TIN T/H,436500227,436500227,xx
1,J14,CONN HEADER 3POS VERT TIN T/H,436500327,436500327,x
1,J100,No Description Available,Part Number: 67996-114HLF,67996-114HLF,xx
1,L2,INDUCTOR 22UH 1.4A 175.5 MOHM,22uH,NR6028T220M,x
1,LED1,LED GREEN CLEAR 0603 SMD,Green,LTST-C190KGKT,x
1,PS1,,V78E05-1000-SMT-TR,V78E05-1000-SMT-TR,x
16,"Q1, Q2, Q3, Q4, Q5, Q6, Q7, Q8, Q9, Q10, Q11, Q12, Q25, Q26, Q27, Q28",MOSFET N-CH 30V 13A SO8FL,NTMFS4935NT1G,NTMFS4935NT1G,x
6,"R1, R2, R3, R4, R26, R29",RES SMD 22 OHM 1% 1/10W 0603,22R,RC0603FR-0722RL,x
3,"R5, R25, R30",RES SMD 120 OHM 1% 1/10W 0603,120R,RC0603FR-07120RL,x
1,R6,RES SMD 10K OHM 1% 1/10W 0603,10K,RC0603FR-0710KL,x
2,"R7, R58",RES SMD 1K OHM 1% 1/10W 0603,1k,RC0603FR-071KL,x
2,"R8, R14",RES SMD 47K OHM 1% 1/10W 0603,47K,RC0603FR-0747KL,x
6,"R9, R10, R11, R13, R20, R50",RES SMD 3.3K OHM 1% 1/10W 0603,3.3k,RC0603FR-073K3L,x
2,"R12, R49",THERMISTOR 10K OHM NTC 0402 SMD,NCP15XH103F03RC,NCP15XH103F03RC,x
1,R15,RES SMD 220K OHM 1% 1/10W 0603,220k,RC0603FR-07220KL,x
2,"R16, R21",RES SMD 18K OHM 1% 1/10W 0603,18k,RC0603FR-0718KL,x
8,"R17, R18, R19, R22, R23, R24, R51, R54",RES SMD 2.2 OHM 1% 1/10W 0603,2.2R,RC0603FR-072R2L,x
1,R1000,RES 1 OHM 5W 5% AXIAL,1,SQP500JB-1R0,x
1,U1,3.3-V CAN Bus Transceiver,,SN65HVD232D,x
1,U2,"ARM Cortex-M4 32-bit MCU+FPU, 210 DMIPS, 1024 kB Flash, 192 kB Internal RAM, 51 I/Os, 64-pin LQFP, -40 to 85 degC",,STM32F405RGT6,x
1,U3,IC REG LDO 3.3V 1A SOT223,3.3V,AZ1117EH-3.3TRG1,x
1,U4,"MOTOR DRIVER, 3PH, 56HTSSOP",,DRV8301,x
1,U6,"DRIVER, MOSFET, HALF BRIDGE, WSON-8, 1A",,LM5109BSD/NOPB,x
1,U8,IC REG LDO 3.3V 0.25A SOT23-5,3.3V,LP5907MFX-3.3/NOPB,x
1,XT1,Crystal 8MHz ±10ppm 10pF 200 Ohm -10°C ~ 60°C ,ABM3B-8.000MHZ-10-1-U-T,ABM3B-8.000MHZ-10-1-U-T,x
